No,Startnotitie,Road Category,Type of Network Intervention,Number of Province,Tracewet 2005,Geographical Profile,Natura 2000 (Post 1998),GDP,EHS/GHS,3 years Average GDP Growth,RDP,Population,Change of Power,c/km2,Idea,Category
1,A2 Holendrecht-Oudenrijn,National,Modification,2,No,Rural,No,414838,Yes,0.053703539,0.2715,3601880,No,20357.33251,CenterLeft,Longterm
2,A2 Maasbracht-Geleen,National,Modification,1,Yes,Rural,No,545609,No,0.033350577,0.0612,1136695,No,6868.199366,Center,Longterm
3,A10 Tweede Coentunnel / A5 Westrandweg,National,New,1,No,Combination,No,523939,Yes,0.032014268,0.1864,2587265,No,11389.30057,Center,Short Term
4,A12 Utrecht-Veenendaal,National,Modification,1,No,Rural,No,364961,Yes,0.057197969,0.0826,1079428,Yes,9363.410326,CenterLeft,Medium Term
5,A28 Utrecht-Amersfoort,National,Modification,1,Yes,Combination,No,639163,Yes,0.054203372,0.0844,1201350,Yes,10836.177,Center-Right ,Short Term
6,N50 Ramspol-Ens,Provincial,Modification,2,No,Rural,No,494501,Yes,0.060448747,0.0738,1435753,Yes,9276.929775,Center,Longterm
7,A2 Everdingen - Deil,National,Modification,2,No,Rural,No,308909,Yes,0.04235228,0.3242,5164595,Yes,13370.8098,Center-Left,Longterm
8,A2 Holendrecht-Maarssen (A2 Holendrecht-Oudenrijn),National,Modification,2,Yes,Rural,Yes,579212,Yes,0.045676375,0.2675,3786623,No,22096.36228,Center,Medium Term
9,A2 Rondweg Den Bosch,National,Modification,1,No,Rural,No,293610,Yes,0.044177598,0.1494,2243546,No,4256.673762,Center,Short Term
10,A2 St.Joost-Urmond,National,Modification,1,Yes,Rural,No,545609,No,0.033350577,0.0612,1136695,No,6868.199366,Center,Short Term
11,A2 Tangenten Eindhoven,National,Modification,1,No,Urban,No,308909,No,0.04235228,0.1494,2259779,Yes,4348.547697,Center-Left,Longterm
12,A7 Rondweg Sneek,National,Modification,1,No,Urban,No,325341,No,0.045099165,0.0330,609579,Yes,2347.527638,Center-Left,Longterm
13,A9 Holendrecht-Diemen,National,Modification,1,Yes,Urban,No,545609,Yes,0.033350577,0.1857,2599103,No,11495.00193,Center,Short Term
14,A12 Woerden-Gouda,National,Modification,2,Yes,Rural,No,545609,Yes,0.033350577,0.3031,4629672,No,23705.57927,Center,Longterm
15,A1 Diemen-Muiderberg & A1/A6 Muiderberg-Almere Stad West,National,Modification,2,Yes,Combination,No,545609,Yes,0.033350577,0.2021,2964962,No,16251.16893,Center,Short Term
16,A2 Leenderheide-Valkenswaard,National,Modification,1,Yes,Rural,Yes,613280,Yes,0.053921893,0.1467,2419042,No,6724.632478,Center,Short Term
17,A2/A27 Everdingen-Lunetten,National,Modification,1,Yes,Rural,No,545609,Yes,0.033350577,0.0859,1171291,No,10691.14551,Center,Longterm
18,A9 Raasdorp-Badhoevedorp & A9 Velsen-Raasdorp,National,Modification,1,Yes,Rural,No,545609,Yes,0.033350577,0.1857,2599103,No,11495.00193,Center,Medium Term
19,A12 Woerden-Oudenrijn,National,Modification,1,Yes,Rural,No,545609,Yes,0.033350577,0.0859,1171291,No,10691.14551,Center,Medium Term
20,A28 Zwolle - Meppel,National,Modification,2,Yes,Combination,No,545609,Yes,0.033350577,0.0811,1592801,No,8253.494209,Center,Medium Term
21,A50 Valburg-Grijsoord,National,Modification,1,No,Combination,No,340964,Yes,0.05110686,0.1029,1876299,Yes,4768.926625,Center-Left,Longterm
22,A58 Eindhoven-Oirschot,National,Modification,1,Yes,Rural,No,579212,Yes,0.045676375,0.1474,2415946,No,6594.468956,Center,Short Term
23,N34 Omleiding Ommen,Provincial,Modification,1,No,Urban,No,325341,Yes,0.045099165,0.0593,1050389,Yes,3553.652505,Center-Left,Longterm
24,A9 Alkmaar-Uitgeest,National,Modification,1,Yes,Rural,No,613280,Yes,0.053921893,0.1810,2613070,No,11666.43374,Center,Medium Term
25,A12 Zoetermeer-Zoetermeer centrum (noordbaan),National,Modification,1,Yes,Urban,No,617540,No,0.022397292,0.2117,3481558,No,13513.1658,Center,Short Term
26,A74 Venlo,National,New,1,No,Rural,No,325341,No,0.045099165,0.0642,1130050,Yes,4648.614773,Center-Left,Longterm
27,N9 Koedijk-De Stolpen,Provincial,Modification,1,No,Rural,No,325341,Yes,0.05110686,0.1814,2463611,Yes,8829.972099,Center-Left,Longterm
28,N200 Halfweg,Provincial,Modification,1,No,Urban,No,293610,No,0.04235228,0.1830,2440165,No,8480.177376,Center,Longterm
29,A4 Burgerveen - Leiden,National,Modification,1,No,Combination,No,308909,Yes,0.04235228,0.2204,3313193,Yes,9668.005803,Center-Left,Medium Term
30,A4 Dinteloord-Bergen op Zoom,National,New,1,No,Rural,No,285059,Yes,0.053703539,0.1494,2225331,No,4064.157142,Center,Longterm
31,N11 Zoeterwoude-Alphen aan den Rijn,Provincial,Modification,1,No,Rural,No,494501,Yes,0.060448747,0.2145,3423780,Yes,12523.82684,Center,Longterm
32,N31 Leeuwarden (Haak),Provincial,New,1,No,Combination,No,494501,Yes,0.060448747,0.0316,636184,Yes,3235.22839,Center,Medium Term
33,N33 Assen-Zuidbroek,Provincial,Modification,2,Yes,Rural,No,579212,Yes,0.045676375,0.0687,1058523,No,7387.079503,Center,Medium Term
34,N61 Hoek-Schoondijke,Provincial,Modification,1,No,Rural,No,389315,Yes,0.06755634,0.0207,369949,No,2003.009586,Center-Left,Longterm
35,Kanaalkruising Sluiskil,Provincial,New,1,No,Rural,No,506671,Yes,0.041956742,0.0212,378348,No,2222.7945,Center,Medium Term
36,A28/A1 Knooppunt Hoevelaken,National,Modification,1,Yes,Rural,Yes,639163,Yes,0.054203372,0.0844,1201350,No,10836.177,Center,Longterm
37,A7/A8 Purmerend - Zaandam - Coenplein,National,Modification,1,No,Rural,No,494501,Yes,0.060448747,0.1856,2559477,Yes,11476.36461,Center,Medium Term
38,A12 Ede - Grijsoord,National,Modification,1,No,Rural,No,364961,Yes,0.061710222,0.1035,1886109,Yes,4885.546229,Center-Left,Longterm
39,A15 Maasvlakte - Vaanplein,National,Modification,1,No,Urban,No,340964,No,0.05110686,0.2166,3332860,Yes,10794.92708,Center-Left,Medium Term
40,A4 Delft-Schiedam,National,New,1,No,Combination,No,523939,No,0.032014268,0.2151,3451942,No,12929.6424,Center,Longterm
41,A2 passage Maastricht,National,Modification,1,No,Urban,No,523939,Yes,0.032014268,0.0628,1139335,No,6852.056972,Center,Longterm
42,A9 omlegging Badhoevedorp,National,Modification,1,Yes,Urban,No,613280,Yes,0.053921893,0.1810,2613070,No,11666.43374,Center,Medium Term
43,A50 Ewijk - Valburg,National,Modification,1,No,Rural,No,340964,Yes,0.05110686,0.1029,1876299,Yes,4768.926625,Center-Left,Longterm
44,N50 Ens - Emmeloord,Provincial,Modification,1,Yes,Rural,No,642929,Yes,0.002291302,0.0172,391967,Yes,5683.5215,Center-Right ,Short Term
45,A1 Apeldoorn-Zuid - Beekbergen,National,Modification,1,Yes,Combination,No,617540,No,0.022397292,0.1029,1991062,No,6039.115205,Center,Medium Term
46,N18 Varsseveld-Enschede,Provincial,Modification,2,Yes,Combination,No,545609,Yes,0.033350577,0.2783,3081442,No,10857.72655,Center,Longterm
47,N31 Harlingen (traverse Harlingen),Provincial,Modification,1,Yes,Rural,No,617540,No,0.022397292,0.0314,644811,No,3645.96837,Center,Short Term
48,N35 Zwolle - Wijthmen,Provincial,Modification,1,Yes,Combination,No,631512,No,0.010333096,0.0596,1130345,Yes,5305.70102,Center-Right ,Medium Term
49,"A27/A1 Utrecht-Noord - knooppunt Eemnes -
aansluiting Bunschoten-Spakenburg",National,Modification,1,Yes,Rural,No,639163,Yes,0.054203372,0.0844,1201350,No,10836.177,Center,Short Term
50,A27/A12 Ring Utrecht,National,Modification,1,Yes,Combination,No,639163,Yes,0.054203372,0.0844,1201350,No,10836.177,Center,Longterm
51,A1/A6/A9 Schiphol-Amsterdam-Almere,National,Modification,2,No,Combination,Yes,523939,Yes,0.032014268,0.2367,2947169,No,16046.2402,Center,Longterm
52,A12/A15 Ressen - Oudbroeken (ViA15),National,Modification,1,Yes,Urban,Yes,639163,Yes,0.054203372,0.1013,1983869,No,5925.330589,Center,Longterm
53,Rijnlandroute (A4 and A44),National,Modification,1,Yes,Combination,No,639163,Yes,0.054203372,0.2133,3461435,No,13229.72191,Center,Longterm
54,A4 Vlietland-N14,National,Modification,1,Yes,Rural,No,652748,No,0.011103421,0.2103,3563935,No,14501.52862,Center-Right ,Short Term
55,A15/A24 Blankenburgverbinding,National,New,1,Yes,Urban,No,642929,No,0.002291302,0.2090,3528324,Yes,14113.296,Center-Right ,Longterm
56,A76 Ansluiting Nuth,National,New,1,Yes,Combination,Yes,617540,Yes,0.022397292,0.0594,1122604,No,6948.008541,Center,Short Term
57,Zuidasdok,National,Modification,1,Yes,Urban,No,663008,No,0.010316531,0.1827,2741369,No,13175.35509,Center-Right ,Short Term
58,A7 Zuidelijke Ringweg Groningen Fase 1,National,Modification,1,No,Urban,No,285059,No,0.044177598,0.0366,555226,No,2833.285618,Center,Longterm
59,A7 Zuidelijke Ringweg Groningen Fase 2,National,Modification,1,Yes,Urban,No,617540,No,0.022397292,0.0457,574092,No,4456.51078,Center,Medium Term
60,A27 Lunetten-Hooipolder,National,Modification,2,Yes,Rural,No,613280,Yes,0.053921893,0.0855,3609646,No,17688.11098,Center,Longterm
61,A2 Grathem - Urmond,National,Modification,1,No,Rural,No,414838,Yes,0.06755634,0.0651,1139302,No,6406.509797,Center-Left,Longterm
62,A4 De Hoek - Prins Clausplein route,National,Modification,2,No,Rural,No,414838,Yes,0.06755634,0.4374,5881928,No,22044.72319,Center-Left,Longterm
63,A2 Oudenrijn-Deil,National,Modification,2,No,Rural,No,414838,Yes,0.06755634,0.3234,3005500,No,15051.75706,Center-Left,Longterm
64,A2: Everdingen junction Deil junction (future) Zaltbommel junction Empel junction,National,Modification,3,No,Rural,No,308909,Yes,0.045099165,0.4736,7424374,Yes,17719.3575,Center-Left,Longterm
65,A2: route 's-Hertogenbosch - Eindhoven,National,Modification,1,No,Rural,No,414838,Yes,0.06755634,0.1495,2337709,No,6006.828424,Center-Left,Medium Term
66,A1: Eemnes - Barneveld,National,Modification,2,No,Combination,No,414838,Yes,0.06755634,0.1909,3005500,No,15051.75706,Center-Left,Short Term
67,A1 Barneveld - Deventer,National,Modification,2,No,Rural,No,414838,No,0.06755634,0.1618,2977222,No,9701.79829,Center-Left,Longterm
68,A1 Apeldoorn - Azelo,National,Modification,2,Yes,Rural,Yes,652748,No,0.011103421,0.1603,3155141,No,11929.64657,Center-Right ,Medium Term
69,N31 Zurich - Harlingen,Provincial,Modification,1,No,Combination,No,494501,No,0.060448747,0.0316,636184,Yes,3235.22839,Center,Medium Term
70,A2 Meerenakkerweg,National,Modification,1,Yes,Urban,No,579212,No,0.045676375,0.1474,2415946,No,6594.468956,Center,Short Term
71,A59 Brug over het Drongelens Kanaal,National,Modification,1,Yes,Rural,Yes,652748,Yes,0.011103421,0.1500,2471011,No,7244.206161,Center-Right ,Short Term
72,N35 Nijverdal-Wierden,Provincial,Modification,1,Yes,Rural,No,642929,No,0.002291302,0.0596,1134465,Yes,5371.34449,Center-Right ,Medium Term
73,A2 Leenderheide - Budel,National,Modification,1,No,Rural,No,414838,Yes,0.06755634,0.1495,2337709,No,6006.828424,Center-Left,Longterm
74,A1 t' Gooi,National,Modification,1,Yes,Urban,No,545609,Yes,0.033350577,0.1857,2599103,No,11495.00193,Center,Medium Term
75,A27 Gorinchem - Noordeloos,National,Modification,1,No,Rural,No,506671,Yes,0.041956742,0.2151,3439982,No,12764.14374,Center,Short Term
76,A12 Veenendaal-Ede,National,Modification,2,No,Rural,No,340964,Yes,0.057197969,0.1858,2946884,Yes,13881.34779,Center-Left,Longterm
77,A4 Badhoevedorp-Nieuwe Meer,National,Modification,1,Yes,Rural,No,545609,No,0.033350577,0.1857,2599103,No,11495.00193,Center,Longterm
78,A1 Watergraafsmeer - Diemen,National,Modification,1,Yes,Urban,No,545609,No,0.033350577,0.1857,2599103,No,11495.00193,Center,Short Term
79,A15 Papendrecht - Sliedrecht,National,Modification,1,Yes,Combination,No,683457,No,0.019438693,0.2147,3577032,No,14775.69732,Center-Right ,Short Term
80,A15 Papendrecht - Hardinxveld-Giessendam - Gorinchem,National,Modification,1,Yes,Combination,No,545609,Yes,0.033350577,0.2172,3458381,No,13014.43376,Center,Short Term
81,A59 Rosmalen-Geffen ,National,Modification,1,No,Rural,No,285059,Yes,0.053703539,0.1494,2225331,No,4064.157142,Center,Short Term
82,A16 Rotterdam,National,New,1,Yes,Combination,No,545609,Yes,0.033350577,0.2172,3458381,No,13014.43376,Center,Longterm
83,A15 knooppunt Ressen-rijksweg 12,National,New,1,No,Rural,No,272796,No,0.053703539,0.1045,1816935,No,3371.531791,Center,Longterm
84,RIJKSWEG 14 'VERLENGDE LANDSCHEIDINGSWEG' ,National,New,1,No,Urban,No,257943,No,0.053703539,0.2020,3219839,No,8790.671556,Center,Medium Term
85,N23 Lelystad-Dronten,Provincial,New,1,Yes,Rural,No,545609,No,0.033350577,0.0164,365859,No,4756.167,Center,Short Term
86,"N33, Spijk - Eemshaven",Provincial,Modification,1,No,Combination,No,325341,No,0.045099165,0.0440,557995,Yes,2885.631286,Center-Left,Short Term
87,"Rijksweg 69, Eindhoven - Belgische",National,Modification,2,No,Rural,No,308909,Yes,0.04235228,0.1038,3384966,Yes,8900.440561,Center-Left,Longterm
88,A2: route 's-Hertogenbosch - Eindhoven,National,Modification,1,Yes,Rural,Yes,639163,Yes,0.054203372,0.1460,2424827,No,6792.527807,Center,Medium Term
89,RIJKSWEG 37 EN RIJKSWEG 34 (GEDEELTE HOLSLOOT-EMMEN-ZUID),Provincial,Modification,1,No,Rural,No,272796,No,0.053703539,0.0262,443510,No,1789.511279,Center,Longterm
90,Rijksweg 73-Zuid,Provincial,New,1,No,Rural,No,285059,No,0.053703539,0.0675,1115485,No,4300.814389,Center,Medium Term
91,"rijksweg 31, gedeelte Leeuwarden–Drachten",Provincial,Modification,1,No,Rural,No,293610,Yes,0.044177598,0.0342,603998,No,2255.354234,Center,Medium Term
92,A1 Hoevelaken - Barneveld,National,Modification,1,No,Rural,No,523939,Yes,0.032014268,0.1011,1966929,No,5752.593719,Center,Medium Term
93,A28 Leusden Zuid - A1 Hoevelaken,National,Modification,2,No,Combination,No,506671,Yes,0.041956742,0.1886,3112640,No,16049.81478,Center,Longterm
94,A12 Woerden - Gouwe,National,Modification,2,No,Rural,No,506671,Yes,0.041956742,0.3015,4592200,No,23134.11,Center,Short Term
95,A27 Plusstrook Utrecht richting Eemnes,National,Modification,1,No,Combination,No,506671,Yes,0.041956742,0.0864,1152218,No,10369.962,Center,Short Term
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
